% Model:              sjo1e12-ph2c-si-200617-pdms-chip-vol-8ul-001.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 20 2022, 15:15
% Dimension:          2
% Nodes:              28902
% Expressions:        3
% Description:        Mesh element number, Velocity field, x component, Velocity field, y component
% Length unit:        mm
% x                       y                        meshelement @ q=4        u (m/s) @ q=4            v (m/s) @ q=4
287.1633738457817         627.8044792429363        310                      1.1408712634323112E-6    -7.935298118556187E-4
287.16432039397256        627.7779953925443        314                      -2.536862260256797E-6    -7.881576362661419E-4
287.14800214677194        627.7564467985483        313                      2.354537217203943E-7     -8.261738733493564E-4
287.14523552964073        627.7268120825598        318                      3.4375522195147833E-7    -8.099625292795875E-4
287.1435606858306         627.6990029652259        364                      3.7375783205998497E-7    -8.010605234170727E-4
287.18100039755416        627.8183626037766        383                      -5.905053791553405E-7    -5.69026929176468E-4
287.19796434462876        627.9665206055455        103                      -6.368427477803051E-8    -1.5476755890591479E-4
287.1979132105199         627.9403151548119        105                      1.1516222731666214E-8    -1.5596937296239713E-4
287.1978735351751         627.9141097040782        108                      7.791408553507832E-8     -1.5783405208056686E-4
287.19188968787086        627.8616988026109        106                      3.8022554731534614E-7    -3.260510229910508E-4
287.192035626857          627.8354933518774        116                      -4.282204354115957E-7    -3.2144259512693614E-4
287.1978568888097         627.8879042533446        108                      1.225889441651114E-8     -1.584798352939737E-4
287.2260396441721         628.1111020701507        325                      NaN                      NaN
287.25153030012535        628.1499537573193        330                      NaN                      NaN
287.24929954600174        628.1248151593616        329                      NaN                      NaN
287.2263184516842         628.0849320882646        332                      NaN                      NaN
287.22638560254427        628.0585172111074        336                      NaN                      NaN
287.2028703719617         628.0189315070128        394                      NaN                      NaN
287.2028703719617         627.9927260562793        394                      NaN                      NaN
287.2263090907647         628.0319318923436        395                      NaN                      NaN
287.2788026401798         628.1919502631667        348                      NaN                      NaN
287.27852226781465        628.1622896251416        402                      NaN                      NaN
287.3902170202897         628.3099904047796        341                      NaN                      NaN
287.3610002581571         628.2833910301426        343                      NaN                      NaN
287.43104111055516        628.3082845226819        354                      NaN                      NaN
287.30509484108086        628.2183851206389        347                      NaN                      NaN
287.3444718427911         628.2457556471279        408                      NaN                      NaN
287.4729544248258         628.2822479280103        353                      NaN                      NaN
